RUT;DV;NOMBRES;PATERNO;MATERNO;NAC_DIA;NAC_MES;NAC_ANHO;DIRECCION;NRO;COMUNA;HABILITADO_SUFRAGAR;ES_VOCAL_MESA;NRO_MESA
18539464;6;Francisca Andrea;Aravena;Arancibia;7;9;2005;TAMARUGOS;4710;RENCA;1;0;2
20745088;k;Catalina Andrea;Michea;Espinoza;26;12;2007;LOS DURAZNOS;3522;ESTACION CENTRAL;1;1;14
20731407;2;Sebastián Andrés;Flores;Garrido;16;10;2002;JOAQUIN EDWARDS BELLO;2119;LA PINTANA;1;0;12
18336018;3;Lervín;Rojas;Bonnassiolle;24;5;1991;LOS RETAMOS;5122;HUECHURABA;1;0;14
17008839;5;Ignacio Esteban;Nanjari;Gonzalez;8;2;2006;ARTURO PRAT;8378;RENCA;1;0;3
19705189;2;Emilia;Reyes;Cantillana;17;3;1986;CALLE;1441;PEÑALOLEN;1;0;9
15379041;8;Tomas Ignacio;Lederc;Araya;1;8;2005;AV. RECOLETA;1765;RECOLETA;1;0;6
19920311;8;Karina Andrea;Martínez;Naranjo;21;5;1999;LOS PLATANOS;4942;CERRO NAVIA;1;0;4
12572176;1;Brandon Antonio;Guzmán;Aranda;5;2;1986;EL PILLAN;1538;LA PINTANA;0;0;7
19933137;k;Daniel Alejandro;Leonard;Cabrera;20;12;1995;GABRIELA PONIENTE;1722;PUENTE ALTO;1;0;7
19794339;4;Gastón Enrique;Pino;González;10;9;1987;ACAPULCO;2013;LO ESPEJO;1;0;9
18024415;8;Ignacio Andrés;Meneses;Muñoz;4;1;1990;LAS CLARISAS;7889;QUILICURA;1;0;9
19077819;3;Martina Pollete;Aravena;Molina;27;1;1986;BARTOLOME DIAZ;4095;SAN BERNARDO;1;1;6
22034472;k;Felipe Ignacio;Díaz;Vásquez;26;12;2003;MANUEL ANTONIO MATTA;821;QUILICURA;1;0;7
17309513;9;Andrea Alejandra;Velásquez;Salas;5;3;1999;ESTACION PAILLACO;5895;PUENTE ALTO;1;0;15
18459481;1;Javier Nicoás;Zuñiga;Chávez;23;12;1970;TORTEL;8493;ESTACION CENTRAL;1;0;3
20791974;8;Maximiliano Andrés;Vergara;Vásquez;1;7;2006;SAN PABLO;9324;QUINTA NORMAL;1;0;2
16420956;3;Valeria Constanza;Valenzuela;Bouñassiolle;12;9;1995;LOMA LARGA;1615;LAS CONDES;1;0;4
20428873;9;Jórdan Andrés Codoceo;Mena;Rossi;7;1;1983;LOS ARCE;8013;EL BOSQUE;1;0;5
17002420;6;Susana de las Mercedes;Pezoa;Rojas;16;7;1982;JUAN LUIS SANFUENTES;9778;SAN RAMON;1;1;3
16693853;8;Natalia Andrea;Sáez;Pérez;16;10;2000;LINCOLN;3763;LO ESPEJO;1;0;15
21958155;6;Paula Andrea;Arenas;Rivas;14;1;2003;MARIA ELENA ESQ. SANTA RAQUEL;4882;LA FLORIDA;0;0;5
17310573;8;Christopher Ambrosio;Guerra;Maturana;12;4;1989;ALBERTO LLONA;8309;MAIPU;1;0;7
21759343;3;Paulina Verónica;Ortiz;Silva;9;8;1993;TRINIDAD;2029;LA FLORIDA;1;0;5
16378963;1;Camila Alejandra;Bastias;Garay;24;7;1993;BALMACEDA;5591;PUENTE ALTO;1;0;4
17026412;1;Damiam Andrés;Jofar;Del Fierro;1;3;1999;PJE. QUECHUAS;8130;PEÑALOLEN;0;0;9
21273267;2;Josefa Williams;Andrade;Serrano;8;8;2000;ARAUCO;7197;SANTIAGO;1;0;10
19704888;3;Jorge David;Salas;Galáz;8;3;2000;EL SALTO;8036;RECOLETA;1;0;4
21528939;7;Nicol Natalia;Rosales;Contreras;7;7;1999;CERRO PARANAL;7210;PUENTE ALTO;1;0;14
16014292;8;Francisco Javier;Herrera;Moraga;16;4;1989;VECINAL NORTE;586;EL BOSQUE;1;0;14
21181973;1;Karina Alejandra Goldschmidt;Rubilar;Muñoz;6;4;1978;MANUEL ANTONIO MATTA;3603;QUILICURA;1;0;8
20429714;2;Eduardo Arturo;Abezada Albornoz;Quezada;10;9;1992;DAGOBERTO GODOY;9567;PUDAHUEL;1;0;6
19673315;9;Cariot Stteban;Rivera;Méndez;12;1;2003;MONJA ALFEREZ;4149;SAN MIGUEL;1;0;7
17612899;2;José Enrique;Vial;Gutierrez;9;7;2007;BARROS ARANA;2738;SAN BERNARDO;1;0;2
22064434;0;Camila Paula;Velásquez;Rodriguez;23;10;2006;CHIGUAYANTE;5835;SAN BERNARDO;1;0;1
19818941;3;Camila Fernanda;Vásquez;Araya;16;6;1992;GENERAL SILVA;3441;EL BOSQUE;1;0;11
17705922;6;Benjamín Alfredo;Thomson;Friedmann;31;7;1985;PASTORAL;484;HUECHURABA;0;0;7
16608236;6;Valentina;Arancibia;Marambio;23;2;1991;RENE OLIVARES BECERRA;7913;MAIPU;1;0;4
17176057;7;Javier;Zapata;Alvarez;2;3;1989;TENIENTE LUIS CRUZ MARTINEZ;7967;LA PINTANA;1;0;6
17318041;1;Valentina antonella;Arenas;Ponce;16;7;1987;SERGIO VALDOVINOS;4287;QUINTA NORMAL;1;0;5
16743608;0;Trinidad Belén;Canessa;Gómez;17;4;1995;ALCALDE PEDRO ALARCON;8522;SAN JOAQUIN;1;0;6
21589819;9;Romina Belén;Ortlooff;Jimenez;2;4;1995;AV. SALVADOR GUTIERREZ;4085;CERRO NAVIA;1;0;9
17248855;2;Natalia Irene;Rathkamp;Gandarillas;18;9;2001;TONGOY;5511;LA PINTANA;1;0;6
20819753;3;Ovieta;Correa;Valdebenito;17;4;2000;AV. VICUNA MACKENNA PONIENTE;4829;LA FLORIDA;1;0;11
20590853;6;Valeska Yaritza;Parga;Saavedra;16;3;1991;3 PONIENTE;5810;MAIPU;1;0;12
20446560;6;Gustavo Antonio;Borquez;Valdés;25;10;1999;SAN FRANCISCO;6820;SAN RAMON;1;0;13
18170899;9;Audair Isaak;Aravena;Luna;12;11;1997;JOSE MIGUEL INFANTE;825;RENCA;1;0;8
20431146;3;Jorge Camilo;Figueroa;Monsalve;14;7;2001;RIO MALLECO;2422;QUILICURA;0;0;10
